as400,当今世界上最流行的中小型、多用户商业计算机系统
fluo,大规模数据集增量处理系统， fluo 是  google percolator（搜索索引）的开源实现，允许用户对存储在 apache accumulo 中的大型数据集进行增量更新，而无需重新处理所有的数据。
logstash,
concurrent pattern,cascading的机器学习库;
celix,apache celix是动态服务框架的实现，其灵感来自于osgi规范，并适应于c和c++ (c++ 17)。它是一个使用组件和进程内面向服务编程开发动态模块化软件应用程序的框架。
vowpal wabbit,微软和雅虎发起的学习系统;
jms,java消息系统
ccnp,
julia,
typescript,
chronos,分布式容错调度;
kano,
linkedin zoie,是用java编写的实时搜索/索引系统;
confluence,
web前端,
pig,
cucm,思科统一通信解决方案中强大的呼叫处理组件。它是一个可扩展、可分布、高度可用的企业ip语音呼叫处理解决方案
spark-streaming,
smart,
axiom,apache axiom是一个基于stax的、符合xml infoset的对象模型，它支持按需构建对象树。它支持一种新颖的拉通”模型，该模型允许关闭树的构建并直接访问底层的拉事件流。它还内置了对xml优化打包(xop)和mtom的支持，两者的结合允许xml以透明的方式高效地携带二进制数据。这两者的结合是一个易于使用的api，具有非常高性能的体系结构!
erwin,
go,也叫golang，一种用于数据分析的开发语言
tigon,
everest,
load runner,
系统分析,
phoenix,
blackberry,
curator,是apache zookeeper(分布式协调服务)的java/jvm客户端库。它包括一个高级api框架和实用程序，使用apache zookeeper更加容易和可靠。它还包括常用用例和扩展的方法，如服务发现和java 8异步dsl。
消息队列,
白盒测试,
特征工程,
aix,
sqoop,
sdlc,
bidmach,cpu和加速gpu的机器学习库。
ruby,一种开发语言
santuario,this  project is aimed at providing implementation of the primary security standards for xml
evrythng,evrythng则是一款真正意义上的大众物联网平台，使得身边的很多产品变得智能化。
caffeine,连续索引系统;
a/b测试,就是为同一个目标制定两个方案（比如两个页面），让一部分用户使用 a 方案，另一部分用户使用 b 方案，记录下用户的使用情况，看哪个方案更符合设计
transformer,
edgent,edgent是一个流处理编程模型和轻量级运行在边缘设备或网关设备上执行分析。
zigbee,一种应用于短距离和低速率下的无线通信技术
算法,
web开发,
rpg,
suse,
fnordmetric,写sql查询，返回svg图表，而不是表;
splunk,用于机器生成的数据的分析;
图像处理,
brooklyn,brooklyn是关于部署和管理应用程序的:为应用程序组合一个完整的堆栈;部署到云和非云目标;使用监视工具收集关键的运行状况/性能指标;响应诸如节点故障等情况;并根据需求增加或减少产能。
多任务管理,
canvas,
winrunner,一种企业级的功能测试工具，用于检测应用程序是否能够达到预期的功能及正常运行
手动测试,
rs/6000,
quick bi,
lambda,
hlr,gsm系统的中央数据库，存放着所有归属用户的信息，如用户的有关号码（imsi和msisdn）、用户类别、漫游能力、签约业务和补充业务等。此外，hlr还存储着每个归属用户有关的动态数据信息，如用户当前漫游所在的msc/vlr地址（即位置信息）和分配给用户的补充业务
streaming,
axios,
optimus,
delphi,
tcl,
appeals,
pure,
greenplum,
ssm,
debian,
vb.net,
问题识别,
搜索算法,
kettle,
wbs,
sas,
countly,基于node.js和mongodb，开源的手机和网络分析平台;
gora,apache gora开源框架为大数据提供了内存中的数据模型和持久性。gora支持持久化到列存储、键值存储、文档存储和rdbms，并使用广泛的apache hadoop mapreduce支持分析数据。
瀑布,
twemproxy,memcached和redis的快速、轻型代理;
amazon rds,
kylin,来自ebay的开源分布式分析工具;
holodeck,强大的故障植入软件测试工具
linkedin galene,linkedin搜索架构;
swing,
data marts,
kotlin,一种基于jvm的编程语言
sdm,(security device manager)是cisco公司提供的全新图形化路由器管理工具
brain,javascript中的神经网络;
unicorn,社交图形搜索平台;
hawq,一个hadoop原生sql查询引擎，它结合了mpp数据库的关键技术优势和hadoop的可伸缩性和便利性
dc.js,维度图表，和crossfilter一起使用，通过d3.js呈现出来，它比较擅长连接图表/附加的元数据，从而徘徊在d3的事件附近;
websh,
sql,结构化查询语言
open shift,
knox,三星的一款基于开源android平台的安全解决方案
cmmi,CMMI的全称为Capability Maturity Model Integration，即能力成熟度模型集成
jcl,
sparrow,调度平台;
ocaml,
shardingsphere,一款分布式的数据库生态系统， 可以将任意数据库转换为分布式数据库，并通过数据分片、弹性伸缩、加密等能力对原有数据库进行增强
prism,多数据中心复制系统;
tcp/ip,（Transmission Control Protocol/Internet Protocol，传输控制协议/网际协议）是指能够在多个不同网络间实现信息传输的协议簇。TCP/IP协议不仅仅指的是TCP 和IP两个协议，而是指一个由FTP、SMTP、TCP、UDP、IP等协议构成的协议簇， 只是因为在TCP/IP协议中TCP协议和IP协议最具代表性，所以被称为TCP/IP协议
fluo yarn,apache fluo yarn是一个在apache hadoop yarn中运行apache fluo应用程序的工具
dart,
microstrategy,商业智能、移动智能和网络应用软件平台;
mybatis,
用户体验设计,
nhibernate,
wcdma,指宽带码分多址
c++,兼容c语言的一种面向过程和对象的开发语言
fireworks,
yoeman.js,
netty,
云计算,
flask,
时序图,
git,
appium,
oraclerac,
hipi library,在hadoop’s mapreduce上执行图像处理任务的api;
oozie,工作流作业调度程序;
jqueryui,
openwhisk,是一个由 ibm 开源的、事件驱动的无服务器计算平台
xmind,思维导图软件
stl,
maxcompute,
percolator,连续索引系统;
os/2,
drizzle,
qtp,
whirr,运行云服务的库集;
weblogic,
datapine,基于云的自助服务商业智能工具;
小型机,
安全实施,
sibyl,google中的大规模机器学习系统;
ubus,为openwrt平台开发中的进程间通信提供了一个通用的框架
samza,
黑莓,
apex,apache apex是一个大数据流和批处理的统一平台。用例包括摄入、etl、实时分析、警报和实时操作。apex是一个hadoop原生的yarn实现，默认使用hdfs。它通过缩短上市时间，简化了hadoop应用程序的开发和产品化。主要特性包括企业级可操作性、容错、状态管理、事件处理保证、无数据丢失、内存内性能和可伸缩性以及本地窗口支持。
rivet,light weight framework to develop services with standardized interfaces， reusable modules and actions
分布式文件系统,
ifttt,ifttt 是一个被称为 网络自动化神器” 的创新型互联网服务，它的全称是 if this then that，意思是如果这样，那么就那样”;
ubuntu,
murex3,
数据治理,
jmx,
产品开发,
sentry,存储在hadoop的数据安全模块。
uml,
iceberg,
buildoop,基于groovy语言，和bigtop类似;
autorunner,
sybase,
clerezza,通过提供操作rdf数据的工具、使用scalaserverpages创建restful web服务和renderlet， clerezza可以轻松地开发语义web应用程序。内容根据w3c rdf规范存储为三元组。这些三元组通过clerezza的智能内容绑定(scb)存储。scb定义了一个与技术无关的层来访问和修改三重存储。它提供了由w3c rdf指定的图数据模型的java实现，以及对该数据模型进行操作的功能。scb提供了访问多个命名图的服务接口，它可以使用各种提供者以特定于技术的方式管理rdf图，例如，使用jena或sesame。它还提供了允许应用程序使用各种api(包括jena api)来处理rdf图的适配器。此外，scb提供序列化和解析服务，将图转换为某种表示(格式)，反之亦然。
spss,
小程序,
urule,
oltp,
springboot,
archiva,archiva是maven、continuum和ant等构建工具的完美伴侣。archiva提供了多种功能，其中包括远程存储库代理、安全访问管理、构建工件存储、交付、浏览、索引和使用报告、可扩展扫描功能等等!
geronimo,apache geronimo是一个开源服务器运行时，它集成了最好的开源项目来创建满足企业开发人员和系统管理员需求的java/osgi服务器运行时。
uhttpd,物联网设备常见的web服务器
arbor,利用网络工作者和jquery的图形可视化库;
websocket,
索引,
品质管理,
红黑树,
图像识别,
mf,mainframe
nupic,智能计算的numenta平台，它是一个启发大脑的机器智力平台，基于皮质学习算法的精准的生物神经网络;
weka,机器学习软件套件;
proxysql,
b/s,
嵌入式数据库,
crunch,apache crunch java库提供了一个编写、测试和运行mapreduce管道的框架。它的目标是使由许多用户定义函数组成的管道易于编写、易于测试和高效运行。
submarine,
jboss,
dlab,datalab是一个使用最佳数据科学工具在云中创建自助服务、探索性数据科学环境的平台。
多进程,
品质管理/测试,
snowplow,企业级网络和事件分析，由hadoop、kinesis、redshift 和postgres提供技术支持;
iseries,使用在大型公司内的小型商业团体和部门。在这条产品线中，比较著名的如as/400系统
sendgrid,一个电子邮件服务平台，可以帮助市场营销人员跟踪他们的电子邮件统计数据
borg,作业调度和监控系统;
系统设计,
易语言,
databricks,
回归测试,
argus,时间序列监测和报警平台;
daffodil,是数据格式描述语言（data format description language）dfdl 1.0 规范的开源实现，以实现通用数据交换.apache daffodil 实现则改变了复杂的文本和二进制数据接口的规则，可以实现数据分解、检查和重新组装等高复杂度的流程。通过 daffodil，用户可以将各种数据在 xml、json 或任何数据结构之间转换，而不用花费大量时间担心如何处理种类繁多的数据。因此，apache daffodil 尤其适用于政府和大型企业这样的大型组织。在这些组织中，每天必须交换大量复杂和遗留的数据，并使其可以访问。
oauth2,
中间件,
r,
openmpi,消息传递框架;
saiku,开源的分析平台;
dpd,(digital pre-distortion)，简单来说就数字预失真
geode,apache geode是一个数据管理平台，它通过广泛分布的云架构提供对数据密集型应用程序的实时、一致的访问。geode跨多个进程池内存、cpu、网络资源以及可选的本地磁盘，以管理应用程序对象和行为。它使用动态复制和数据分区技术来实现高可用性、改进的性能、可伸缩性和容错。除了作为分布式数据容器之外，geode还是一个内存数据管理系统，它提供可靠的异步事件通知和有保证的消息传递。
ssrs,
jackrabbit,apache jackrabbit是一个完全符合java技术api (jcr)内容存储库的实现
opencv,
sigma.js,javascript库，专门用于图形绘制;
jdbc,
mpls,一般指多协议标签交换。 多协议标签交换（multi-protocol label switching，缩写为mpls）是一种在开放的通信网上利用标签引导数据高速、高效传输的新技术
图数据库,
zos,
gcp,谷歌云平台
etsy conjecture,scalding中可扩展的机器学习;
hortonworks hoya,可在yarn上部署hbase集群的应用;
mlbase,用于bdas堆栈的分布式机器学习库;
redmine,一款ruby开发的项目管理工具
avro,apache avro是一个数据序列化系统。
azure,微软的云平台
swift,苹果的开发语言
fluentd,一个开源的通用日志采集和分发系统，可以从多个数据源采集日志，并将日志过滤和加工后分发到多种存储和处理系统。
nvd3,d3.js的图表组件;
deltaspike,是一套可移植的cdi(contexts & dependency injection)扩展目的是在使用cdi和java ee时使应用开发更容易。它的一些主要特性包括:—支持组件配置、类型安全消息传递和国际化以及异常处理的核心运行时。-一套实用程序，使程序化bean查找更容易。java se的一个插件，可以在容器外引导jboss weld和apache openwebbeans。jsf集成，包括对java ee 6的jsf 2.2特性的回移植。- jpa集成和事务支持。- data模块，用于在jpa之上创建易于使用的存储库模式。- quartz集成测试支持也提供了，允许你做低水平的单元测试你的cdi启用的项目。
livy,livy is an open source rest interface for interacting with apache spark from anywhere
java,目前非常流行的应用开发语言
mindsdb,一种将机器学习引入现有的SQL数据库的工具，它连接了数据与模型。
fpga,（field programmable gate array）是在pal （可编程阵列逻辑）、gal（通用阵列逻辑）等可编程器件的基础上进一步发展的产物
vxworks,一个实时操作系统
原型,
encog,支持多种先进算法的机器学习框架，同时支持类的标准化和处理数据;
vse,一个虚拟服务程序，应用平台为Windows
windows,微软的商用操作系统
chef,一个系统集成框架，为整个架构提供配置管理功能
mindjet,
pmi,项目管理协会，是世界领先的非盈利会员协会的项目管理专业机构 
ivyde,用ivyde插件集成eclipse中的ivy。
1104,指2003年11月4日银监会召开的银行业金融机构监管信息系统建设主席办公会和监管信息系统建设领导小组会议上决定启动的银行业金融机构监督信息系统。
计算机视觉,
django,
xure,原型制作软件
nutch,一个开源java实现的搜索引擎
tika,内容分析工具包;
graphite,可扩展的实时图表;
memcachedb,一个缓存组件
shell,
安全测试,
调优,
linkedin bobo,完全由java编写的分面搜索的实现，为lucene的延伸;
spring,
mvc,模型视图控制器
grpc,google开发的一个高性能、通用的开源RPC框架，主要面向移动应用开发且基于HTTP/2协议标准而设计，同时支持大多数流行的编程语言。
数据建模,
kvm,
黑盒测试,
it治理,
并行计算,
superset,
bigtop,bigtop是一个用于开发apache hadoop生态系统的打包和测试的项目。bigtop的主要目标是围绕hadoop相关项目的打包和互操作性测试建立一个社区。这包括在不同级别(打包、平台、运行时、升级等)的测试，这些测试是由社区开发的，关注的是整个系统，而不是单个项目。简而言之，我们努力成为hadoop的一部分，就像debian之于linux一样。
c/c++,
分布式,
servicecomb,一种开箱即用的微服务解决方案，无需任何编码即可提供微服务治理能力，
app自动化测试,
gsm,全球移动通信系统(global system for mobile communications)
鱼骨图,
cognos,一款功能强大的商业智能BI解决方案，更便捷更迅速更可靠地进行数据准备，产出数据报表.
blue prism,一款rpa软件
kiji,基于hbase，实时采集和分析数据的框架;
microsoft,商业智能软件和平台;
jieba,国产分词工具
kornia,
powershell,
directmemory,apache directmemory是java虚拟机的堆外缓存，apache directmemory 是一个多层的缓存系统，特性包括无堆的内存管理用于支持大规模的 java 对象，而不会影响 jvm 垃圾收集器的性能。
aurora,aurora是一个服务调度器，用于将作业调度到apache mesos上。
需求评审,
glassfish,
soa,Service-Oriented Architecture，面向服务架构
jpa,
haboopdb,
esb,指企业服务总线
hadoop benchmarking,测试hadoop性能的微基准;
redhat,
hudi,hadoop updates and incrementals(数据湖)
zeppelin,一个笔记本式的协作数据分析;
griffin,一个大数据的数据质量解决方案，包括流和批处理模式。它提供了从不同角度度量数据质量的统一流程。
自然语言处理,
osgi,
pubnub,数据流网络;
druid,apache druid是一个支持现代分析应用程序的实时数据库。连接池是阿里巴巴开源的数据库连接池项目
solaris,
sparkr,spark的r前端;
规则引擎,
datafu,apache datafu包含两个库:apache datafu pig是apache pig中用于数据分析的一组有用的用户定义函数。apache datafu hourglass是一个使用apache hadoop mapreduce增量处理数据的库。这个库的灵感来自于日常跟踪数据中滑动窗口计算的普及。诸如此类的计算通常定期进行(例如每天、每周)，因此计算的滑动性质意味着许多工作是不必要的重复。datafu的沙漏是为了提高这些计算的效率而创建的，有时可以减少50-95%的计算资源。
helix,用于分区和复制分布式资源的集群管理框架
tibico,
b-tree,
socket,
object-c,苹果的开发语言
cxf,一个开源的 Services 框架
watir,
zing charts,用于大数据的javascript图表库。
maven,
serf,服务发现和协调的分散化解决方案;
storm,
sketch,
shiny,针对r的web应用程序框架;
itil,
nexus,
plm,
selenium,
recdb,
embedded c,嵌入式c，一般用于芯片或基于芯片的应用的开发
anakia,anakia是一个xml转换工具，它使用jdom和velocity将xml文档转换为您选择的格式。它提供了一种使用ant样式任务和xsl处理xml文件的替代方案。
jbossas,
marathon,用于长期运行服务的mesos框架。
ansible,
asr,自动语音识别(automatic speech recognition)
acid,关系数据库在写入或更新资料的过程中，为保证事务（transaction）是正确可靠的，所必须具备的四个特性：原子性（atomicity，或称不可分割性）、一致性（consistency）、隔离性（isolation，又称独立性）、持久性（durability）
wsus,windows server update services
jes,
harmony,apache harmony软件是java运行时一个具有类库和相关工具的模块。
nfs,
decider,ruby中灵活、可扩展的机器学习;
iotdb,apache iotdb (database for internet of things)是为时间序列数据设计的集成数据管理引擎;apache iotdb能够满足物联网工业领域对海量数据存储、高速数据摄取和复杂数据分析的需求。
derby,
prolog,programming in logic
2lemetry,物联网平台;
数据架构,
forrest,apache forrest软件是一个发布框架，它将来自各种来源的输入转换为一种或多种输出格式的统一表示。apache forrest的模块化和可扩展插件架构基于apache cocoon和将表示与内容分离的相关行业标准。forrest可以生成静态文档，或者用作动态服务器，或者通过其自动化设施进行部署。
samba,
网络,
ad,
mainframe,
.net,微软的一种用于构建多种应用的开发平台
domino,运行、规划、共享和部署模型——没有任何基础设施;
gobblin,分布式数据集成框架，简化大数据集成的常见方面，如数据摄取、复制、组织和生命周期管理，用于流数据和批数据生态系统
mlpneuralnet,针对ios和mac os x的快速多层感知神经网络库;
低代码,
物联网,
数据编织,
elephant bird,lzo压缩数据的工作库;
集成测试,
ci/cd,ci、cd 其实是三个概念，包含了一个 ci 和两个 cd，ci全称 continuous integration，表示持续集成，cd包含 continuous delivery和 continuous deployment，分别是持续交付和持续部署
flink,
gephi,屡获殊荣的开源平台，可视化和操纵大型图形和网络连接，有点像photoshop，但是针对于图表，适用于windows和mac os x;
node.js,
高并发,
仿真测试,
chatgpt,
puppet,
ivy,apache ivy是一个面向java依赖管理的非常强大的依赖管理器，尽管它可以用于管理任何类型的依赖。
v+,
easyui,
struts2,
数据库管理,
测试用例,
sumo logic,基于云的分析仪，用于分析机器生成的数据;
rocksdb,基于性leveldb，用于快速存储的嵌入式持续性键-值存储。
easyocr,
rational robot,
kudu,
shindig,是apache的一个开源项目，实现了google的opensocial容器开源项目
rnn,递归神经网络
gensim,
playwright,
tokudb,
actian psql,pervasive software公司开发的acid兼容的dbms，在应用程序中嵌入了优化;
机器学习,
cnn,Convolutional Neural Network(卷积神经网络)
poi,
项目经理,
预训练模型,
hermes,建于kafka上的异步消息代理;
spotify luigi,一种构建批处理作业的复杂管道的python包，它能够处理依赖性解析、工作流管理、可视化、故障处理、命令行一体化等等问题;
特征提取,指使用计算机提取图像中属于特征性的信息的方法及过程
envision.js,动态html5可视化;
knox gateway,hadoop集群安全访问的单点;
redux,Redux对于JavaScript应用而言是一个可预测状态的容器。换言之，它是一个应用数据流框架，而不是传统的像underscore.js或者AngularJs那样的库或者框架。
dogtail,一款linux桌面GUI自动化测试工具
abc,质量管理术语
it支持,
efk,(Elasticsearch+Filebeat+Kibana)日志收集系统
ignite,apache ignite是一个分布式数据库，用于具有内存速度的高性能计算。
microservice,微服务
gan,生成对抗网络
